path,reason,evidence,action
source/backend/firebase-functions/node_modules/,Third-party dependencies,node_modules auto-generated,keep (gitignored)
source/backend/rest-api/node_modules/,Third-party dependencies,node_modules auto-generated,keep (gitignored)
source/apps/web-admin/node_modules/,Third-party dependencies,node_modules auto-generated,keep (gitignored)
source/apps/mobile-customer/.dart_tool/,Flutter build cache,Dart tooling auto-generated,keep (gitignored)
source/apps/mobile-merchant/.dart_tool/,Flutter build cache,Dart tooling auto-generated,keep (gitignored)
source/backend/firebase-functions/node_modules/firebase-tools/templates/,Templates from firebase-tools package,Bundled with firebase-tools npm package,keep (part of package)
source/backend/firebase-functions/src/__tests__/firestore.rules,Test fixture for rules,Used in unit tests,keep (test asset)
docs/BLOCKER_*.md,Documentation of blockers,Created by gate/audit scripts,keep (evidence)
local-ci/verification/,CI/CD verification artifacts,Generated by gates and audit,keep (evidence)
.next/,Next.js build output,Auto-generated on build,keep (gitignored)
build/,Flutter/general build artifacts,Auto-generated on build,keep (gitignored)
dist/,TypeScript compiled output,Auto-generated by tsc,keep (gitignored)
